frame_id,wall_start,relative_start_s,relative_end_s,duration_ms,idle_before_ms,baudrate,byte_count,class,confidence,hex,ascii
0,2026-05-20T12:05:43,27.464505200,27.464505200,0.000000,,9600,1,tiny_reply_or_noise,0.350,03,.
1,2026-05-20T12:05:43,27.467147600,27.467147600,0.000000,2.642400,9600,1,tiny_reply_or_noise,0.350,F8,.
2,2026-05-20T12:05:43,27.468845000,27.468845000,0.000000,1.697400,9600,1,tiny_reply_or_noise,0.350,9E,.
3,2026-05-20T12:05:43,27.470877400,27.470877400,0.000000,2.032400,9600,1,tiny_reply_or_noise,0.350,86,.
4,2026-05-20T12:05:43,27.471630300,27.471630300,0.000000,0.752900,9600,1,tiny_reply_or_noise,0.350,7E,~
5,2026-05-20T12:05:43,27.473775600,27.473775600,0.000000,2.145300,9600,1,tiny_reply_or_noise,0.350,06,.
6,2026-05-20T12:05:43,27.477969300,27.477969300,0.000000,4.193700,9600,1,tiny_reply_or_noise,0.350,E0,.
7,2026-05-20T12:05:43,27.479290300,27.479290300,0.000000,1.321000,9600,1,tiny_reply_or_noise,0.350,E6,.
8,2026-05-20T12:05:43,27.480076300,27.480076300,0.000000,0.786000,9600,1,tiny_reply_or_noise,0.350,06,.
9,2026-05-20T12:05:43,27.480739300,27.480739300,0.000000,0.663000,9600,1,tiny_reply_or_noise,0.350,7E,~
10,2026-05-20T12:05:43,27.482537400,27.482537400,0.000000,1.798100,9600,1,tiny_reply_or_noise,0.350,9E,.
11,2026-05-20T12:05:43,27.483290200,27.483290200,0.000000,0.752800,9600,1,tiny_reply_or_noise,0.350,60,`
12,2026-05-20T12:05:43,27.487528500,27.487528500,0.000000,4.238300,9600,1,tiny_reply_or_noise,0.350,FE,.
13,2026-05-20T12:05:43,27.488351600,27.488351600,0.000000,0.823100,9600,1,tiny_reply_or_noise,0.350,86,.
14,2026-05-20T12:05:43,27.489023500,27.489023500,0.000000,0.671900,9600,1,tiny_reply_or_noise,0.350,06,.
15,2026-05-20T12:05:43,27.489639900,27.489639900,0.000000,0.616400,9600,1,tiny_reply_or_noise,0.350,7E,~
16,2026-05-20T12:05:43,27.493781800,27.493781800,0.000000,4.141900,9600,1,tiny_reply_or_noise,0.350,7E,~
17,2026-05-20T12:05:43,27.494566000,27.494566000,0.000000,0.784200,9600,1,tiny_reply_or_noise,0.350,06,.
18,2026-05-20T12:05:43,27.495425200,27.495425200,0.000000,0.859200,9600,1,tiny_reply_or_noise,0.350,9E,.
19,2026-05-20T12:05:43,27.496107000,27.496107000,0.000000,0.681800,9600,1,tiny_reply_or_noise,0.350,98,.
20,2026-05-20T12:05:43,27.496762200,27.496762200,0.000000,0.655200,9600,1,tiny_reply_or_noise,0.350,78,x
21,2026-05-20T12:05:43,27.497899300,27.497899300,0.000000,1.137100,9600,1,tiny_reply_or_noise,0.350,7E,~
22,2026-05-20T12:05:43,27.498535600,27.498535600,0.000000,0.636300,9600,1,tiny_reply_or_noise,0.350,1E,.
23,2026-05-20T12:05:43,27.499157500,27.499157500,0.000000,0.621900,9600,1,tiny_reply_or_noise,0.350,00,.
24,2026-05-20T12:05:43,27.504074900,27.504074900,0.000000,4.917400,9600,1,tiny_reply_or_noise,0.350,03,.
25,2026-05-20T12:05:43,27.506739600,27.506739600,0.000000,2.664700,9600,1,tiny_reply_or_noise,0.350,F8,.
26,2026-05-20T12:05:43,27.508158100,27.508158100,0.000000,1.418500,9600,1,tiny_reply_or_noise,0.350,9E,.
27,2026-05-20T12:05:43,27.510597600,27.510597600,0.000000,2.439500,9600,1,tiny_reply_or_noise,0.350,86,.
28,2026-05-20T12:05:43,27.511336100,27.511336100,0.000000,0.738500,9600,1,tiny_reply_or_noise,0.350,7E,~
